STITCH,atc5,atc_idx
CID000060164,D10AD03,781
CID000004599,A08AB01,1724
CID000003000,D07AC03,953
CID000003000,D07XC02,954
CID000003003,A01AC02,200
CID000003003,C05AA09,201
CID000003003,D07AB19,202
CID000003003,D07XB05,203
CID000003003,D10AA03,204
CID000003003,H02AB02,205
CID000003003,R01AD03,206
CID000003003,S01BA01,207
CID000003003,S01CB01,208
CID000003003,S02BA06,209
CID000003003,S03BA01,210
CID000003007,N06BA01,839
CID000003007,N06BA02,838
CID000438204,D06BA01,1516
CID000007029,A08AA03,1286
CID000123620,D07AC13,656
CID000123620,D07XC03,657
CID000123620,R01AD09,658
CID000123620,R03BA07,659
CID000004449,N06AX06,716
CID000002617,J01DB04,911
CID000003478,A10BB07,357
CID000023897,N05AE02,1509
CID000163742,B01AX05,1374
CID000003476,A10BB12,348
CID000002891,B03BB01,1000
CID000002891,B03BA01,936
CID000003676,C01BB01,434
CID000003676,C05AD01,435
CID000003676,D04AB01,436
CID000003676,N01BB02,437
CID000003676,R02AD02,438
CID000003676,S01HA07,439
CID000003676,S02DA01,440
CID000003902,L02BG04,612
CID000003675,N06AF03,584
CID000003672,C01EB16,804
CID000003672,G02CC01,805
CID000003672,M01AE01,806
CID000003672,M02AA13,807
CID000004058,N02AB02,445
CID000004054,N06DX01,876
CID000004053,L01AA03,1518
CID000004052,M01AC06,1003
CID000003877,J05AF05,95
CID000091270,C09AA13,689
CID000003878,N03AX09,843
CID000065027,J05AE09,1328
CID005311048,L01XA01,922
CID000004409,M01AX01,845
CID000016362,N05AG02,1557
CID000003869,C07AG01,918
CID000004943,N01AX10,1248
CID000004946,C07AA05,449
CID000005525,C09AA10,606
CID000005526,B02AA02,160
CID000009433,R03DA05,1249
CID000093860,L01XX32,1520
CID000003279,J04AK02,1301
CID000072054,G04BD10,1252
CID000005412,A01AB13,1314
CID000005412,D06AA04,1315
CID000005412,J01AA07,1316
CID000005412,S01AA09,1317
CID000005412,S02AA08,1318
CID000005412,S03AA02,1319
CID000004614,M01AE12,286
CID000004616,N05BA04,1046
CID000002477,N05BE01,692
CID000002476,N02AE01,395
CID000002476,N07BC01,396
CID000002471,C03CA02,1008
CID000002274,J01DF01,47
CID000001065,C01BA01,1012
CID000002519,N06BC01,243
CID000002519,N02BE01,238
CID000003928,J01FF02,144
CID000003019,C02DA01,1308
CID000003019,V03AH01,1309
CID000000937,C04AC01,603
CID000000937,C10AD02,604
CID000003016,N05BA01,432
CID000122316,N04BD02,736
CID000002609,J01DC04,719
CID000005071,J05AC02,850
CID000003702,C03BA11,1049
CID000150310,C03DA04,295
CID000150311,C10AX09,1325
CID000004436,R01AA08,467
CID000004436,S01GA01,469
CID000004436,R01AB02,468
CID000004100,S01EC05,1305
CID000004547,A10BX02,972
CID000003648,N02AA03,402
CID000004543,N06AA10,709
CID000004542,G03AC03,745
CID000004542,G03AD01,746
CID000060198,L02BG06,157
CID000004046,P01BC02,1299
CID000003488,A10BB01,143
CID000002720,C03AA03,78
CID000002720,C03AA04,1170
CID000002726,N05AA01,1355
CID000004138,C02AB01,1178
CID000002283,D06AX05,138
CID000002283,R02AB04,140
CID000002283,J01XX10,139
CID000002284,M03BX01,831
CID000005556,N05CD05,129
CID000005396,L01CB02,1527
CID000005394,L01AX03,680
CID000005391,N05CD07,1047
CID005311297,R03DC03,79
CID000005775,C04AB01,930
CID000005775,V03AB36,931
CID000003241,R06AX24,1445
CID000003241,S01GX10,1446
CID000667490,L01BB02,455
CID000060835,N06AX21,6
CID000004603,J05AH02,58
CID000004607,J01CF01,741
CID000004607,J01CF04,1127
CID000004609,L01XA03,1363
CID000002462,A07EA06,783
CID000002462,D07AC09,784
CID000002462,R01AD05,785
CID000002462,R03BA02,786
CID001349907,H03BB02,1009
CID000000838,A01AD01,775
CID000000838,B02BC09,776
CID000000838,C01CA03,917
CID000000838,C01CA24,777
CID000000838,R01AA14,778
CID000000838,R03AA01,779
CID000000838,S01EA01,780
CID000030623,V03AF02,164
CID000002267,R01AC03,319
CID000002267,R06AX19,320
CID000002267,S01GX07,321
CID000002265,L04AX01,932
CID000003393,N05CD01,1202
CID000003392,D07AC07,236
CID000003394,M01AE09,703
CID000003394,M02AA19,704
CID000003394,S01BC04,706
CID000003397,L02BB01,1560
CID000002269,J01FA10,560
CID000002269,S01AA26,561
CID000041781,C03CA01,433
CID000041781,C03CA04,332
CID000004736,N02AD01,1310
CID000004737,N05CA01,1440
CID000004730,J01CE02,723
CID000096312,L01BB07,644
CID003085017,V03AE02,1351
CID000002675,J01DD08,1437
CID000002678,R06AE07,820
CID000002678,R06AE09,269
CID000003657,L01XX05,41
CID000003652,P01BA02,1177
CID000003658,N05BB01,577
CID000002708,L01AA02,1892
CID000000581,R05CB01,1242
CID000000581,S01XA08,1243
CID000000581,V03AB23,1244
CID000002818,N05AH02,739
CID000068740,M05BA08,623
CID000004091,A10BA02,68
CID000004091,A10BD11,1334
CID000004095,N07BC02,417
CID000005546,C03DB02,102
CID000005544,A01AC01,31
CID000005544,D07AB09,33
CID000005544,D07XB02,34
CID000005544,H02AB08,35
CID000005544,R01AD11,36
CID000005544,R03BA06,37
CID000005544,S01BA05,38
CID000005544,C05AA12,32
CID000040976,G03AC08,367
CID000004197,C01CE02,919
CID000004893,C02CA01,576
CID000004891,P02BA01,1556
CID000016231,C03DB01,1182
CID000004894,A07EA01,176
CID000004894,C05AA04,177
CID000004894,D07AA01,117
CID000004894,D07AA03,178
CID000004894,D07XA02,179
CID000004894,D10AA02,118
CID000004894,H02AB04,119
CID000004894,H02AB06,180
CID000004894,R01AD02,181
CID000004894,S01BA04,182
CID000004894,S01CB02,183
CID000004894,S02BA03,184
CID000004894,S03BA02,185
CID000004894,H02AB07,378
CID000003261,N05CD04,1311
CID000003251,N02CA01,913
CID000003251,N02CA02,1369
CID000003255,D10AF02,1037
CID000003255,J01FA01,1038
CID000003255,S01AA17,1039
CID000050614,J01DC05,938
CID000004635,N02AA05,416
CID000004634,G04BD04,226
CID000004428,N07BB04,1227
CID005282226,S01EE04,474
CID000054454,C10AA01,74
CID000057469,D06BB10,969
CID000003382,C05AA11,695
CID000003382,D07AC08,696
CID000003387,G03BA01,1381
CID000003384,C05AA06,189
CID000003384,D07AB06,190
CID000003384,D07XB04,191
CID000003384,D10AA01,192
CID000003384,S01BA07,193
CID000003384,S01CB05,194
CID000001046,J04AK01,685
CID000056959,C01EB18,1478
CID000000085,A16AA01,1273
CID000003032,M01AB05,288
CID000003032,M02AA15,289
CID000003032,S01BC03,290
CID000003032,D11AX18,287
CID000060753,C01BD05,149
CID000002662,L01XX33,293
CID000002662,M01AH01,294
CID000002666,J01DB01,732
CID000004419,N02AF02,1236
CID006323497,J04AB05,686
CID000054547,J01DD13,1377
CID000002719,P01BA01,1571
CID000002719,P01BA02,1177
CID000002712,N05BA02,1027
CID000000596,L01BC01,1729
CID000000772,B01AB01,541
CID000000772,C05BA03,542
CID000000772,S01XA14,543
CID000000772,B01AB05,609
CID000003827,R06AX17,521
CID000003827,S01GX08,522
CID000003826,M01AB15,195
CID000003826,S01BC05,196
CID000003825,M01AE03,1211
CID000003825,M02AA10,1212
CID000003823,D01AC08,750
CID000003823,G01AF11,751
CID000003823,J02AB02,752
CID000003821,N01AX03,923
CID000003821,N01AX14,1600
CID000004140,G02AB01,428
CID000002803,C02AC01,941
CID000002803,N02CX02,942
CID000002803,S01EA04,943
CID000002803,S01EA03,509
CID000002806,B01AC04,789
CID000004158,N06BA04,620
CID000004159,D07AA01,117
CID000004159,D10AA02,118
CID000004159,H02AB04,119
CID000115237,N05AX08,383
CID000013342,L01CA01,1768
CID000004259,J01MA14,463
CID000004259,S01AE07,464
CID004479097,B03BA03,1321
CID004479097,V03AB33,1322
CID000004086,R03CB03,1643
CID000004086,R03AB03,1642
CID000005578,J01EA01,250
CID000005572,N04AA01,872
CID000005379,J01MA16,211
CID000005379,S01AE06,212
CID000005376,L02BA01,1169
CID000005596,G04BD09,1304
CID000060815,N01AH06,1769
CID000004976,N06AA11,399
CID000002443,G02CB01,1190
CID000002443,N04BC01,1191
CID005353894,V03AB04,1409
CID000005625,J05AG02,1548
CID000004623,D01AC11,964
CID000004623,G01AF17,965
CID000002244,A01AD05,240
CID000002244,B01AC06,241
CID000002244,N02BA01,242
CID000047319,M03AC04,1229
CID000047319,M03AC11,607
CID000170361,N07BA03,562
CID000087177,A06AD11,867
CID000041693,N01AH03,1245
CID000005978,L01CA02,1365
CID000060787,J05AE01,55
CID000002656,J01DD04,939
CID000002650,J01DD02,1074
CID000003759,N06AF01,1485
CID000004594,A02BC01,803
CID000004594,A02BC05,782
CID000003750,L01XX19,156
CID000065999,C09CA07,427
CID000005193,N05CA06,1028
CID000002951,M03CA01,853
CID000003637,C02DB02,1272
CID000003639,C03AA03,78
CID000054374,H01CB02,611
CID000002725,R06AB02,1269
CID000002725,R06AB04,314
CID000003767,J04AC01,540
CID000004915,L01XB01,1639
CID000004189,A01AB09,525
CID000004189,A07AC01,526
CID000004189,D01AC02,527
CID000004189,G01AF04,528
CID000004189,J02AB01,529
CID000004189,S02AA13,530
CID000003958,N05BA06,441
CID000036339,N01AX07,916
CID000004168,A03FA01,730
CID000004160,G03BA02,834
CID000004160,G03EK01,835
CID000002812,A01AB18,450
CID000002812,D01AC01,451
CID000002812,G01AF02,452
CID000002907,L01AA01,414
CID000002907,L01DB07,1367
CID000002905,S01FA04,481
CID006398970,J01DD15,747
CID000002019,L01DA01,1495
CID000005291,L01XE01,401
CID000005297,A07AA04,1493
CID000005297,J01GA01,1494
CID000002913,R06AX02,849
